"Aerolínea","Fecha_del_viaje","Origen","Destino","Ruta","Hora_de_salida","Hora_de_llegada","Duración","Total_de_escalas","Información_adicional","Precio (S/)"
"VIVA Air Perú","2024-05-07","LIM","PCL","LIM-PCL","21:00","22:00","1.1","0","WiFi incluido","200.39"
"LATAM Perú","2024-05-08","LIM","CUZ","LIM-CUZ","12:30","13:30","1.3","0","Clase business","589.19"
"Avianca Perú","2024-04-01","LIM","TRU","LIM-TRU","17:15","18:15","1.3","0","Clase business","568.92"
"VIVA Air Perú","2024-01-23","LIM","IQT","LIM-IQT","12:30","14:45","2","0","Asiento preferente","238.92"
"Avianca Perú","2024-12-04","CUZ","JUL","CUZ-JUL","20:30","20:00","0.8","0","Cancelación gratuita","319.4"
"LATAM Perú","2024-09-16","LIM","TCQ","LIM-TCQ","06:30","07:00","1.4","0","Cancelación gratuita","349.59"
"JetSMART Perú","2024-12-28","LIM","PIU","LIM-PIU","17:30","18:45","1.4","0","WiFi incluido","357.47"
"VIVA Air Perú","2024-10-27","TRU","CIX","TRU-CIX","17:45","17:15","0.9","1","Clase business","429.77"
"Sky Airline Perú","2024-12-16","CUZ","JUL","CUZ-JUL","11:30","11:00","0.9","0","Clase económica","208.2"
"VIVA Air Perú","2024-02-15","AQP","TCQ","AQP-TCQ","17:45","18:45","1","0","Incluye snack","175.34"
"JetSMART Perú","2024-08-01","LIM","PIU","LIM-PIU","17:15","18:15","1.6","0","Incluye equipaje","196.43"
"JetSMART Perú","2024-10-15","LIM","PIU","LIM-PIU","16:30","17:30","1.5","0","Clase económica","207.86"
"Sky Airline Perú","2024-07-11","LIM","AQP","LIM-AQP","19:30","20:30","1.3","0","Incluye snack","271.69"
"Sky Airline Perú","2024-11-06","LIM","PCL","LIM-PCL","05:15","06:15","1.1","0","Cancelación gratuita","266.23"
"Avianca Perú","2024-02-08","LIM","TCQ","LIM-TCQ","07:00","08:30","1.6","0","WiFi incluido","289.96"
"Sky Airline Perú","2024-12-16","LIM","PIU","LIM-PIU","15:45","16:45","1.6","0","Solo equipaje de mano","253.95"
"JetSMART Perú","2024-01-13","LIM","TPP","LIM-TPP","08:45","09:15","1.4","0","WiFi incluido","291.12"
"Avianca Perú","2024-08-01","CUZ","JUL","CUZ-JUL","13:30","13:15","0.8","0","WiFi incluido","217.82"
"VIVA Air Perú","2024-02-05","LIM","AQP","LIM-AQP","12:30","13:30","1.3","1","Clase business","394.79"
"Avianca Perú","2024-10-29","AQP","JUL","AQP-JUL","07:30","07:30","0.8","0","WiFi incluido","253.12"
"VIVA Air Perú","2024-08-26","LIM","CUZ","LIM-CUZ","20:00","21:30","1.4","0","Solo equipaje de mano","194.09"
"Avianca Perú","2024-10-11","AQP","TCQ","AQP-TCQ","20:45","20:00","0.8","0","Incluye equipaje","232.69"
"JetSMART Perú","2024-09-05","AQP","JUL","AQP-JUL","16:30","16:15","0.9","0","WiFi incluido","199.28"
"JetSMART Perú","2024-10-20","LIM","JUL","LIM-JUL","19:15","20:15","1.4","0","Solo equipaje de mano","164.41"
"Sky Airline Perú","2024-11-25","TRU","PIU","TRU-PIU","13:15","14:00","1.1","0","Cancelación gratuita","239.54"
"JetSMART Perú","2024-09-19","LIM","PCL","LIM-PCL","05:30","06:45","1.3","0","Incluye equipaje","203.7"
"Avianca Perú","2024-06-15","LIM","PIU","LIM-PIU","07:15","08:15","1.3","0","Clase business","685.91"
"Sky Airline Perú","2024-04-19","LIM","TRU","LIM-TRU","06:45","07:00","1.1","0","Asiento preferente","284.07"
"JetSMART Perú","2024-05-14","LIM","JUL","LIM-JUL","17:00","18:00","1.5","0","Cancelación gratuita","292.55"
"JetSMART Perú","2024-07-30","LIM","TRU","LIM-TRU","08:00","09:30","1.1","0","Clase business","516.49"
"Avianca Perú","2024-04-19","LIM","PIU","LIM-PIU","11:00","12:15","1.6","0","Incluye snack","331.82"
"VIVA Air Perú","2024-06-11","LIM","TCQ","LIM-TCQ","15:30","16:00","1.6","1","Clase business","437.2"
"VIVA Air Perú","2024-04-28","LIM","TRU","LIM-TRU","18:15","19:00","1.1","0","Clase business","490.92"
"JetSMART Perú","2024-05-09","TRU","CIX","TRU-CIX","21:15","21:30","0.8","0","Asiento preferente","188.92"
"VIVA Air Perú","2024-02-21","TRU","CIX","TRU-CIX","21:15","21:45","0.9","0","Asiento preferente","198.97"
"VIVA Air Perú","2024-03-21","AQP","TCQ","AQP-TCQ","07:15","08:00","1","0","Clase económica","131.67"
"JetSMART Perú","2024-06-28","LIM","CUZ","LIM-CUZ","08:30","09:00","1.4","0","Incluye snack","261.97"
"Avianca Perú","2024-08-12","LIM","TCQ","LIM-TCQ","07:00","08:00","1.7","0","Cancelación gratuita","335.43"
"LATAM Perú","2024-02-23","CUZ","AQP","CUZ-AQP","20:00","21:45","1","0","WiFi incluido","342.58"
"Sky Airline Perú","2024-10-03","AQP","TCQ","AQP-TCQ","13:30","13:00","0.9","0","WiFi incluido","220.36"
"JetSMART Perú","2024-05-23","CUZ","JUL","CUZ-JUL","08:15","08:45","0.8","0","Incluye equipaje","142.87"
"Sky Airline Perú","2024-01-18","LIM","PCL","LIM-PCL","06:45","07:30","1.3","0","Solo equipaje de mano","173.66"
"Sky Airline Perú","2024-08-18","TRU","CIX","TRU-CIX","15:45","16:15","1.1","0","Clase económica","197.23"
"LATAM Perú","2024-12-14","CUZ","AQP","CUZ-AQP","13:15","14:45","1","0","Clase económica","320.67"
"Avianca Perú","2024-01-09","TRU","CIX","TRU-CIX","13:15","13:15","0.8","0","Incluye snack","208.59"
"Avianca Perú","2024-10-03","LIM","TRU","LIM-TRU","16:15","17:30","1.1","0","Solo equipaje de mano","182.66"
"JetSMART Perú","2024-06-22","LIM","PCL","LIM-PCL","17:30","18:45","1.3","0","Cancelación gratuita","304.25"
"Avianca Perú","2024-10-02","TRU","PIU","TRU-PIU","12:45","13:30","1","0","Clase económica","174.34"
"Avianca Perú","2024-08-15","TRU","CIX","TRU-CIX","06:30","06:15","0.9","0","Asiento preferente","220.65"
"Sky Airline Perú","2024-07-14","LIM","TPP","LIM-TPP","15:00","16:15","1.2","0","WiFi incluido","362.6"
"JetSMART Perú","2024-03-17","CUZ","JUL","CUZ-JUL","19:00","20:15","1","0","Clase económica","161.62"
"Sky Airline Perú","2024-06-30","LIM","PCL","LIM-PCL","14:15","15:45","1.5","0","Clase business","593.17"
"VIVA Air Perú","2024-02-04","AQP","TCQ","AQP-TCQ","11:15","11:00","0.9","0","Incluye equipaje","141.94"
"LATAM Perú","2024-06-11","LIM","AQP","LIM-AQP","19:30","20:15","1.1","0","Incluye equipaje","239.78"
"JetSMART Perú","2024-08-17","LIM","AQP","LIM-AQP","09:30","10:30","1.4","0","Incluye snack","249.11"
"Sky Airline Perú","2024-09-03","LIM","TRU","LIM-TRU","13:15","14:15","1.1","0","Clase económica","145.85"
"JetSMART Perú","2024-06-05","LIM","JUL","LIM-JUL","09:30","10:30","1.6","0","Solo equipaje de mano","177.15"
"Sky Airline Perú","2024-08-31","AQP","TCQ","AQP-TCQ","06:30","06:45","0.9","0","Asiento preferente","238.84"
"JetSMART Perú","2024-10-18","AQP","JUL","AQP-JUL","11:45","11:30","0.9","0","Solo equipaje de mano","157.39"
"Avianca Perú","2024-12-13","TRU","PIU","TRU-PIU","06:45","06:00","0.9","0","WiFi incluido","364.29"
"JetSMART Perú","2024-11-14","CUZ","AQP","CUZ-AQP","12:15","13:30","1","0","Cancelación gratuita","195"
"VIVA Air Perú","2024-12-08","LIM","PCL","LIM-PCL","07:00","08:15","1.2","0","WiFi incluido","293.18"
"VIVA Air Perú","2024-09-03","LIM","CUZ","LIM-CUZ","06:30","07:30","1.4","0","Clase económica","145.3"
"LATAM Perú","2024-08-29","TRU","PIU","TRU-PIU","19:30","20:30","1.1","0","Cancelación gratuita","328.33"
"Avianca Perú","2024-10-22","CUZ","JUL","CUZ-JUL","15:15","15:45","0.8","0","Clase económica","179.37"
"Avianca Perú","2024-11-22","LIM","PIU","LIM-PIU","11:45","12:15","1.5","0","Clase business","685.8"
"Sky Airline Perú","2024-05-31","LIM","IQT","LIM-IQT","15:45","17:45","2","0","Incluye snack","330.05"
"Avianca Perú","2024-10-02","LIM","TRU","LIM-TRU","07:00","08:15","1.1","0","Clase económica","218.3"
"Avianca Perú","2024-01-04","AQP","TCQ","AQP-TCQ","09:15","10:00","1","0","WiFi incluido","241.13"
"VIVA Air Perú","2024-10-03","TRU","CIX","TRU-CIX","18:00","18:00","0.8","0","Clase business","344.41"
"Sky Airline Perú","2024-09-27","LIM","TRU","LIM-TRU","20:45","21:30","1.1","0","WiFi incluido","237.42"
"Sky Airline Perú","2024-07-09","AQP","JUL","AQP-JUL","20:00","21:45","1","0","Cancelación gratuita","296.64"
"JetSMART Perú","2024-06-08","AQP","TCQ","AQP-TCQ","18:15","18:15","0.9","0","Cancelación gratuita","276.33"
"VIVA Air Perú","2024-07-23","LIM","PIU","LIM-PIU","15:30","16:45","1.4","0","WiFi incluido","244.02"
"VIVA Air Perú","2024-10-29","LIM","PIU","LIM-PIU","20:45","21:30","1.5","0","Asiento preferente","204.07"
"VIVA Air Perú","2024-02-03","LIM","TCQ","LIM-TCQ","17:15","18:30","1.5","0","Incluye snack","279.1"
"Avianca Perú","2024-03-30","LIM","CUZ","LIM-CUZ","14:30","15:15","1.3","0","Incluye equipaje","299.61"
"Avianca Perú","2024-03-08","LIM","CUZ","LIM-CUZ","11:30","12:15","1.3","0","Solo equipaje de mano","227.21"
"VIVA Air Perú","2024-01-19","LIM","IQT","LIM-IQT","16:30","17:00","1.8","0","Asiento preferente","267.41"
"JetSMART Perú","2024-04-12","CUZ","JUL","CUZ-JUL","18:45","18:30","0.7","0","Solo equipaje de mano","139.86"
"Avianca Perú","2024-10-30","LIM","PIU","LIM-PIU","19:30","20:15","1.4","0","Incluye snack","261.23"
"LATAM Perú","2024-01-11","LIM","PCL","LIM-PCL","21:00","22:30","1.3","0","Incluye snack","292"
"LATAM Perú","2024-08-12","LIM","PCL","LIM-PCL","18:45","19:45","1.2","0","Solo equipaje de mano","177.86"
"JetSMART Perú","2024-02-29","LIM","IQT","LIM-IQT","17:45","19:15","2","0","Clase económica","207.62"
"VIVA Air Perú","2024-07-18","LIM","CUZ","LIM-CUZ","06:00","07:30","1.3","0","Clase business","491.01"
"Sky Airline Perú","2024-05-20","TRU","CIX","TRU-CIX","09:30","10:00","1","0","WiFi incluido","184.23"
"VIVA Air Perú","2024-06-03","LIM","PIU","LIM-PIU","09:45","10:45","1.6","0","Incluye snack","212.01"
"Avianca Perú","2024-01-06","LIM","PCL","LIM-PCL","07:45","08:00","1.3","0","WiFi incluido","327.02"
"LATAM Perú","2024-06-05","CUZ","AQP","CUZ-AQP","14:15","14:45","0.9","0","Incluye equipaje","211.78"
"Sky Airline Perú","2024-10-13","CUZ","JUL","CUZ-JUL","20:15","20:45","0.8","0","Clase económica","204.05"
"VIVA Air Perú","2024-10-31","CUZ","AQP","CUZ-AQP","11:15","12:00","1.1","0","Asiento preferente","209.25"
"Sky Airline Perú","2024-12-23","CUZ","JUL","CUZ-JUL","19:30","19:30","0.8","1","Clase business","472.62"
"VIVA Air Perú","2024-01-20","LIM","PCL","LIM-PCL","21:15","22:00","1.2","0","Solo equipaje de mano","169.06"
"JetSMART Perú","2024-12-01","CUZ","JUL","CUZ-JUL","10:00","10:45","0.6","0","Clase business","495.38"
"JetSMART Perú","2024-02-18","LIM","TCQ","LIM-TCQ","12:45","13:15","1.7","0","WiFi incluido","289.3"
"Avianca Perú","2024-06-06","LIM","TCQ","LIM-TCQ","06:30","07:00","1.9","0","Solo equipaje de mano","242.34"
"Avianca Perú","2024-09-20","TRU","CIX","TRU-CIX","05:30","05:45","0.7","0","Incluye snack","284.81"
"Avianca Perú","2024-11-29","LIM","CUZ","LIM-CUZ","12:00","13:15","1.2","0","Asiento preferente","364.51"
"Sky Airline Perú","2024-05-07","CUZ","JUL","CUZ-JUL","10:15","10:00","0.7","0","Asiento preferente","193.65"
"Avianca Perú","2024-11-24","LIM","CIX","LIM-CIX","17:30","18:30","1.3","0","WiFi incluido","336.87"
"Avianca Perú","2024-12-25","LIM","TCQ","LIM-TCQ","05:45","06:15","1.6","0","Solo equipaje de mano","300.41"
"Avianca Perú","2024-09-04","AQP","TCQ","AQP-TCQ","06:45","06:45","0.9","0","WiFi incluido","228.02"
"LATAM Perú","2024-10-19","AQP","TCQ","AQP-TCQ","06:30","07:45","1","0","Clase económica","252.72"
"JetSMART Perú","2024-06-08","CUZ","JUL","CUZ-JUL","16:00","16:00","0.7","0","Solo equipaje de mano","149.19"
"JetSMART Perú","2024-01-08","AQP","JUL","AQP-JUL","16:15","16:45","0.7","0","Asiento preferente","197.98"
"VIVA Air Perú","2024-11-16","LIM","TCQ","LIM-TCQ","16:15","17:45","1.3","0","Incluye equipaje","218.19"
"LATAM Perú","2024-06-01","LIM","JUL","LIM-JUL","11:15","12:00","1.4","0","Cancelación gratuita","410.03"
"VIVA Air Perú","2024-02-15","LIM","CUZ","LIM-CUZ","11:00","12:15","1.4","0","Asiento preferente","231.35"
"LATAM Perú","2024-01-10","AQP","TCQ","AQP-TCQ","06:15","06:30","0.9","0","Cancelación gratuita","300.16"
"VIVA Air Perú","2024-07-24","LIM","IQT","LIM-IQT","20:15","21:30","1.8","0","Clase business","607.18"
"LATAM Perú","2024-06-09","LIM","PCL","LIM-PCL","19:30","20:30","1.4","0","Clase business","718.19"
"Sky Airline Perú","2024-09-09","LIM","IQT","LIM-IQT","20:45","21:45","1.9","0","Clase business","544.45"
"VIVA Air Perú","2024-11-10","AQP","TCQ","AQP-TCQ","15:45","16:15","1.1","0","Cancelación gratuita","231.37"
"Avianca Perú","2024-03-27","LIM","CIX","LIM-CIX","05:00","06:15","1.2","0","WiFi incluido","264.36"
"JetSMART Perú","2024-07-01","LIM","CIX","LIM-CIX","08:15","09:00","1.2","0","WiFi incluido","283.7"
"LATAM Perú","2024-11-14","LIM","IQT","LIM-IQT","15:45","16:30","1.8","0","Incluye equipaje","289.61"
"Sky Airline Perú","2024-10-29","LIM","AQP","LIM-AQP","07:00","08:30","1.3","0","Asiento preferente","217.27"
"LATAM Perú","2024-01-08","LIM","CUZ","LIM-CUZ","06:45","07:30","1.1","0","Incluye equipaje","240.09"
"JetSMART Perú","2024-02-28","LIM","PIU","LIM-PIU","16:30","17:30","1.5","0","Cancelación gratuita","284.89"
"Sky Airline Perú","2024-10-22","LIM","JUL","LIM-JUL","05:45","06:45","1.5","0","Solo equipaje de mano","214.55"
"Sky Airline Perú","2024-08-01","TRU","PIU","TRU-PIU","19:45","20:00","1","0","Asiento preferente","268.13"
"JetSMART Perú","2024-02-01","LIM","PCL","LIM-PCL","20:30","21:15","1.1","0","WiFi incluido","201.74"
"JetSMART Perú","2024-05-15","LIM","TRU","LIM-TRU","17:15","18:15","1.2","0","Asiento preferente","217.44"
"Avianca Perú","2024-03-01","LIM","TRU","LIM-TRU","12:45","13:45","1.3","1","Clase económica","246.19"
"Sky Airline Perú","2024-06-25","AQP","TCQ","AQP-TCQ","06:30","06:45","0.8","0","WiFi incluido","176.61"
"JetSMART Perú","2024-06-18","LIM","CUZ","LIM-CUZ","09:15","10:15","1.2","0","WiFi incluido","235.94"
"Sky Airline Perú","2024-01-10","CUZ","AQP","CUZ-AQP","13:45","14:30","1","0","Cancelación gratuita","233.4"
"VIVA Air Perú","2024-04-20","LIM","PCL","LIM-PCL","19:15","20:30","1.2","0","Incluye snack","221.85"
"LATAM Perú","2024-02-01","AQP","TCQ","AQP-TCQ","13:15","13:45","0.9","0","Clase business","481.75"
"Avianca Perú","2024-09-13","TRU","PIU","TRU-PIU","17:30","18:00","1.1","0","WiFi incluido","344.78"
"Sky Airline Perú","2024-11-05","LIM","IQT","LIM-IQT","12:00","13:45","1.9","0","Incluye snack","281.44"
"LATAM Perú","2024-03-10","LIM","PCL","LIM-PCL","15:30","16:45","1.1","0","Cancelación gratuita","359.65"
"VIVA Air Perú","2024-08-17","LIM","IQT","LIM-IQT","13:30","14:30","1.6","0","WiFi incluido","272.84"
"Sky Airline Perú","2024-03-31","LIM","CIX","LIM-CIX","06:15","07:00","1","0","Solo equipaje de mano","245.16"
"VIVA Air Perú","2024-08-13","CUZ","AQP","CUZ-AQP","21:30","22:45","1.2","0","Incluye equipaje","168.6"
"JetSMART Perú","2024-01-10","LIM","TCQ","LIM-TCQ","12:45","13:45","1.5","0","Asiento preferente","213.88"
"LATAM Perú","2024-09-20","LIM","PIU","LIM-PIU","21:45","22:30","1.6","0","Incluye snack","344.18"
"LATAM Perú","2024-09-02","LIM","TCQ","LIM-TCQ","10:15","11:00","1.6","0","Clase business","633.88"
"LATAM Perú","2024-04-11","LIM","JUL","LIM-JUL","07:30","08:30","1.4","1","Cancelación gratuita","351.25"
"Sky Airline Perú","2024-02-25","TRU","PIU","TRU-PIU","11:45","11:30","0.9","0","Incluye snack","226.36"
"Avianca Perú","2024-01-28","LIM","PIU","LIM-PIU","15:45","16:15","1.5","0","Incluye snack","309.78"
"JetSMART Perú","2024-11-04","AQP","JUL","AQP-JUL","14:00","14:30","0.9","0","Incluye snack","151.2"
"LATAM Perú","2024-12-07","LIM","AQP","LIM-AQP","17:45","18:30","1.5","0","Cancelación gratuita","532.22"
"Avianca Perú","2024-02-16","LIM","AQP","LIM-AQP","12:45","13:00","1.3","1","Clase business","677.46"
"VIVA Air Perú","2024-04-06","TRU","PIU","TRU-PIU","06:45","07:45","1.2","0","WiFi incluido","271.25"
"JetSMART Perú","2024-10-03","CUZ","JUL","CUZ-JUL","06:00","06:30","0.7","0","Incluye snack","143.28"
"Sky Airline Perú","2024-03-06","LIM","TCQ","LIM-TCQ","11:30","12:00","1.4","0","Clase business","490.95"
"Sky Airline Perú","2024-02-18","AQP","TCQ","AQP-TCQ","13:45","14:15","1","0","Asiento preferente","245.02"
"VIVA Air Perú","2024-06-15","LIM","AQP","LIM-AQP","16:00","17:30","1.2","0","Cancelación gratuita","268.54"
"JetSMART Perú","2024-02-20","TRU","PIU","TRU-PIU","09:15","10:15","1","0","Clase business","394.68"
"Avianca Perú","2024-03-06","LIM","TPP","LIM-TPP","13:15","14:00","1.4","0","Clase económica","214.76"
"JetSMART Perú","2024-03-03","LIM","CIX","LIM-CIX","10:15","10:00","0.9","0","WiFi incluido","229"
"VIVA Air Perú","2024-11-03","LIM","IQT","LIM-IQT","18:30","19:30","1.9","0","Incluye snack","251.89"
"VIVA Air Perú","2024-09-12","LIM","TPP","LIM-TPP","15:00","16:30","1.4","0","WiFi incluido","208.27"
"JetSMART Perú","2024-01-18","LIM","PCL","LIM-PCL","17:00","18:00","1.1","0","Asiento preferente","200.62"
"JetSMART Perú","2024-04-18","TRU","CIX","TRU-CIX","19:00","19:30","0.6","0","Clase business","346.17"
"Sky Airline Perú","2024-07-02","LIM","IQT","LIM-IQT","16:15","17:00","1.7","0","WiFi incluido","362.92"
"JetSMART Perú","2024-05-15","TRU","PIU","TRU-PIU","05:00","06:00","1","0","Incluye equipaje","195.99"
"JetSMART Perú","2024-05-22","LIM","TPP","LIM-TPP","20:45","21:00","1.4","0","Solo equipaje de mano","121.15"
"JetSMART Perú","2024-01-18","AQP","TCQ","AQP-TCQ","19:00","20:15","1","0","Incluye equipaje","161.72"
"Sky Airline Perú","2024-04-08","CUZ","AQP","CUZ-AQP","17:30","17:00","0.9","0","WiFi incluido","210.11"
"VIVA Air Perú","2024-03-02","LIM","JUL","LIM-JUL","07:15","08:45","1.4","0","Cancelación gratuita","273.05"
"Sky Airline Perú","2024-01-12","LIM","CIX","LIM-CIX","07:45","08:00","1.1","0","WiFi incluido","290.57"
"Sky Airline Perú","2024-07-14","TRU","PIU","TRU-PIU","08:45","08:00","0.9","0","Clase económica","236.84"
"VIVA Air Perú","2024-03-20","LIM","PCL","LIM-PCL","19:00","20:15","1.3","0","Clase económica","143.54"
"Sky Airline Perú","2024-10-26","CUZ","AQP","CUZ-AQP","21:15","22:30","1","0","Incluye snack","244"
"VIVA Air Perú","2024-12-30","AQP","JUL","AQP-JUL","08:45","09:00","1.1","1","Solo equipaje de mano","123.2"
"Avianca Perú","2024-09-29","LIM","TPP","LIM-TPP","05:00","06:00","1.4","0","Incluye equipaje","318.44"
"Sky Airline Perú","2024-06-07","LIM","TCQ","LIM-TCQ","10:45","11:00","1.6","0","WiFi incluido","299.45"
"VIVA Air Perú","2024-04-24","CUZ","JUL","CUZ-JUL","07:30","07:15","0.8","0","Incluye snack","140.66"
"Avianca Perú","2024-03-16","TRU","PIU","TRU-PIU","21:15","21:00","0.9","0","Clase económica","248.24"
"VIVA Air Perú","2024-02-28","LIM","TPP","LIM-TPP","10:45","11:30","1.5","0","Clase económica","181.95"
"LATAM Perú","2024-12-02","LIM","JUL","LIM-JUL","07:30","08:45","1.3","0","Clase business","725.9"
"Avianca Perú","2024-06-08","TRU","PIU","TRU-PIU","21:15","21:30","0.9","0","WiFi incluido","306.2"
"JetSMART Perú","2024-03-01","AQP","JUL","AQP-JUL","13:30","13:45","0.9","0","WiFi incluido","237.17"
"Sky Airline Perú","2024-03-21","TRU","PIU","TRU-PIU","06:30","06:00","0.9","0","Incluye snack","188.52"
"JetSMART Perú","2024-08-18","CUZ","AQP","CUZ-AQP","10:15","11:15","1","0","Cancelación gratuita","258.8"
"VIVA Air Perú","2024-03-05","LIM","TRU","LIM-TRU","17:15","18:15","1.1","0","Cancelación gratuita","213.66"
"LATAM Perú","2024-03-08","LIM","PCL","LIM-PCL","11:00","12:30","1.3","0","Solo equipaje de mano","281.02"
"Avianca Perú","2024-03-12","LIM","TPP","LIM-TPP","20:30","21:45","1.3","0","Clase económica","210.27"
"Avianca Perú","2024-02-29","LIM","IQT","LIM-IQT","15:15","17:15","2","0","Solo equipaje de mano","228.19"
"VIVA Air Perú","2024-11-10","LIM","PCL","LIM-PCL","18:00","19:15","1.1","0","Clase business","481.6"
"Avianca Perú","2024-12-08","TRU","CIX","TRU-CIX","14:30","14:30","0.8","0","Cancelación gratuita","383.23"
"Sky Airline Perú","2024-05-26","AQP","TCQ","AQP-TCQ","05:00","06:00","1","0","Solo equipaje de mano","212.33"
"VIVA Air Perú","2024-01-26","LIM","TCQ","LIM-TCQ","08:00","09:45","1.6","1","Incluye equipaje","221.99"
"VIVA Air Perú","2024-10-17","TRU","PIU","TRU-PIU","11:45","11:45","0.7","0","WiFi incluido","165.25"
"Avianca Perú","2024-06-12","LIM","TCQ","LIM-TCQ","09:30","10:00","1.6","0","WiFi incluido","296.55"
"LATAM Perú","2024-12-22","LIM","TRU","LIM-TRU","14:15","15:30","1.1","0","Incluye equipaje","352.72"
"Avianca Perú","2024-11-23","LIM","JUL","LIM-JUL","21:00","22:15","1.5","0","Clase económica","303.54"
"Sky Airline Perú","2024-12-30","LIM","JUL","LIM-JUL","20:45","21:45","1.5","0","Solo equipaje de mano","210.13"
"JetSMART Perú","2024-08-24","LIM","PCL","LIM-PCL","05:00","06:30","1.3","0","Clase business","521.71"
"Avianca Perú","2024-01-31","LIM","CIX","LIM-CIX","18:15","19:15","1.3","1","Solo equipaje de mano","210.27"
"Sky Airline Perú","2024-10-24","AQP","JUL","AQP-JUL","17:00","17:30","0.9","0","Asiento preferente","247.32"
"Avianca Perú","2024-02-03","TRU","CIX","TRU-CIX","14:00","14:45","0.8","0","Cancelación gratuita","335.55"
"JetSMART Perú","2024-09-27","LIM","TRU","LIM-TRU","15:30","16:45","1","0","Solo equipaje de mano","140.61"
"JetSMART Perú","2024-04-23","LIM","JUL","LIM-JUL","10:15","11:00","1.4","0","Cancelación gratuita","272.68"
"JetSMART Perú","2024-07-22","LIM","TCQ","LIM-TCQ","21:30","22:45","1.5","0","Solo equipaje de mano","195.72"
"Avianca Perú","2024-10-29","LIM","TCQ","LIM-TCQ","16:00","17:00","1.7","0","Clase económica","224.5"
"Avianca Perú","2024-02-07","TRU","PIU","TRU-PIU","12:00","13:45","1.1","0","Asiento preferente","262.96"
"LATAM Perú","2024-05-04","LIM","PCL","LIM-PCL","10:30","11:15","1.3","0","Clase business","668.87"
"JetSMART Perú","2024-04-28","LIM","TPP","LIM-TPP","18:45","19:15","1.2","0","WiFi incluido","277.26"
"VIVA Air Perú","2024-11-07","LIM","JUL","LIM-JUL","17:15","18:45","1.4","0","WiFi incluido","195.39"
"Avianca Perú","2024-06-25","TRU","CIX","TRU-CIX","05:00","05:45","0.7","0","Clase business","458.68"
"VIVA Air Perú","2024-03-25","LIM","IQT","LIM-IQT","15:45","17:30","2","0","Clase económica","172.69"
"VIVA Air Perú","2024-04-04","LIM","PCL","LIM-PCL","15:45","16:30","1.2","0","Incluye snack","205.88"
"VIVA Air Perú","2024-05-24","LIM","CIX","LIM-CIX","16:45","17:30","1.1","0","WiFi incluido","210.81"
"LATAM Perú","2024-09-13","AQP","TCQ","AQP-TCQ","15:15","15:30","0.7","0","WiFi incluido","284.6"
"Avianca Perú","2024-06-08","TRU","PIU","TRU-PIU","08:00","08:30","0.9","0","Asiento preferente","265.84"
"Sky Airline Perú","2024-04-05","AQP","TCQ","AQP-TCQ","15:15","15:15","0.9","1","Clase business","491.21"
"LATAM Perú","2024-10-13","LIM","PIU","LIM-PIU","12:30","13:30","1.4","0","WiFi incluido","356.3"
"Sky Airline Perú","2024-08-31","TRU","CIX","TRU-CIX","10:00","10:00","0.9","0","Cancelación gratuita","273.94"
"JetSMART Perú","2024-11-17","LIM","PIU","LIM-PIU","13:30","14:30","1.4","0","Clase business","517.81"
"JetSMART Perú","2024-07-04","LIM","TCQ","LIM-TCQ","08:15","09:45","1.6","0","Solo equipaje de mano","246.94"
"VIVA Air Perú","2024-10-07","AQP","JUL","AQP-JUL","14:30","15:45","1","0","Incluye equipaje","163.8"
"VIVA Air Perú","2024-09-26","LIM","TRU","LIM-TRU","18:45","19:00","1.1","0","Cancelación gratuita","197.23"
"Avianca Perú","2024-10-24","CUZ","JUL","CUZ-JUL","21:30","21:45","0.6","0","Clase business","396.48"
"Sky Airline Perú","2024-06-04","LIM","TPP","LIM-TPP","18:00","19:45","1.5","0","Asiento preferente","247.68"
"Avianca Perú","2024-05-19","TRU","CIX","TRU-CIX","18:30","18:45","0.9","0","Incluye equipaje","239.5"
"LATAM Perú","2024-12-01","LIM","TRU","LIM-TRU","16:30","17:00","1","0","Clase business","745.03"
"Sky Airline Perú","2024-02-27","AQP","JUL","AQP-JUL","08:45","08:45","0.9","0","Clase económica","207.79"
"Sky Airline Perú","2024-01-18","AQP","JUL","AQP-JUL","08:45","09:45","1","0","Asiento preferente","221.14"
"Sky Airline Perú","2024-08-30","LIM","TRU","LIM-TRU","13:15","13:15","0.9","0","Cancelación gratuita","267.8"
"Sky Airline Perú","2024-12-14","LIM","TPP","LIM-TPP","12:30","13:00","1.4","0","Incluye equipaje","334.15"
"LATAM Perú","2024-12-09","LIM","TCQ","LIM-TCQ","08:15","09:30","1.7","0","Clase económica","327.16"
"Avianca Perú","2024-02-03","LIM","CIX","LIM-CIX","19:45","20:15","1.2","0","WiFi incluido","318.04"
"VIVA Air Perú","2024-03-20","CUZ","JUL","CUZ-JUL","16:15","17:00","1","1","Clase business","383.71"
"Avianca Perú","2024-01-09","CUZ","JUL","CUZ-JUL","10:45","10:00","0.8","0","Solo equipaje de mano","158.39"
"VIVA Air Perú","2024-02-06","LIM","TCQ","LIM-TCQ","13:15","14:00","1.7","0","Solo equipaje de mano","162.55"
"VIVA Air Perú","2024-04-24","LIM","CUZ","LIM-CUZ","15:30","16:30","1.2","0","Cancelación gratuita","231.04"
"JetSMART Perú","2024-02-24","TRU","CIX","TRU-CIX","12:15","12:45","0.8","0","WiFi incluido","207.33"
